open,high,low,close,volume,hour,day_of_week,SMA_50,SMA_200,EMA_9,EMA_21,BB_upper,BB_lower,bollinger_bandwidth,RSI,MACD,MACD_Signal,MACD_Hist,stochastic_oscillator,stochastic_signal,ADX,ATR,VWAP,OBV,lag_1,lag_2,lag_3,lag_4,Bullish,Bearish,Doji,Engulfing,target,Upper_Band,Lower_Band
97201.47,97243.02,97165.23,97166.07,24.071923,12,6,1.779211845267894,1.698106861900249,1.8277888638193052,1.8597908291638487,97332.47396609138,97174.57503390872,-1.1862399861684716,-0.9914837732717919,0.07010059169756866,0.21430761230430204,-0.36314749255546236,-1.3242735933876226,23.696217245433903,-1.3619398187588678,-2.1051141498341663,1.6560893576221216,0.8939103575282774,97201.47,97254.65,97265.86,97235.15,0,1,0,0,0,1.5793500622186918,1.9583235690660807
97166.07,97212.48,97152.07,97168.32,17.496991,12,6,1.773947985714152,1.6940755174494815,1.8035873849723558,1.8459237126044212,97334.4761846492,97171.18281535093,-1.16738693682368,-0.9544963707463334,0.010219489639638108,0.1754145863066127,-0.4331357682354155,-1.6030741658642194,13.200842438153858,-1.2667870860747827,-2.0768834920448707,1.6540565381044967,0.9267947280447766,97166.07,97201.47,97254.65,97265.86,1,0,1,0,0,1.5831956598090973,1.9525785119374555
97168.32,97168.32,97146.29,97158.01,12.096473,12,6,1.7719317486636632,1.6904242899502233,1.7803871017993735,1.8315439024324534,97340.35779743864,97157.88920256143,-1.100361050134696,-1.0632260477539073,-0.04449315499782986,0.13234309862019142,-0.4772116942017255,-1.5345689799989506,6.186430966701512,-1.1670447089243519,-2.1402424668192412,1.6526132007556051,0.904060253295671,97168.32,97166.07,97201.47,97254.65,0,1,0,1,0,1.5944922863299507,1.9300644662405813
97158.01,97158.01,97122.49,97134.87,13.519418,12,6,1.7702667393480023,1.6863233263512354,1.7532103111283044,1.814491221557308,97348.26611005569,97141.3258899444,-1.0148174762413793,-1.3007661509268034,-0.10712411639099338,0.08419834868269326,-0.5307263003040494,-1.47525668263039,4.7645566596473365,-1.0284359486984427,-2.167592166144684,1.6508963151956224,0.8786514529665498,97158.01,97168.32,97166.07,97201.47,0,1,0,0,0,1.6096815307757006,1.9020128610360825
97134.87,97134.88,97092.99,97133.86,30.591588,12,6,1.7696022544443861,1.6825878183068637,1.7310927882814253,1.7988150623827428,97352.69087154686,97124.70512845324,-0.941224703525414,-1.3111391914779273,-0.15352706924897408,0.035541507026292905,-0.5361280290673311,-1.3840527087788996,6.827178269028029,-0.8478396382589584,-2.1781216920128994,1.6470242484790538,0.821156703470474,97134.87,97158.01,97168.32,97166.07,0,1,1,0,0,1.618180029443405,1.8738639604149947
97133.86,97133.86,97090.83,97099.93,9.583543,13,6,1.7675848782769483,1.6788238869410004,1.7007643697869106,1.7787279808840541,97357.69596629927,97102.3400337008,-0.8454949119155761,-1.6465543616447789,-0.2189941928574181,-0.017691349558322064,-0.5843974904675927,-1.4108316482197538,7.992467267701149,-0.6764394498317892,-2.1852385200685283,1.6457047719012479,0.803145104854872,97133.86,97134.87,97158.01,97168.32,0,1,0,0,1,1.627793155864372,1.8359864641499049
97099.93,97104.81,97005.29,97048.13,55.419028,13,6,1.7628256475442963,1.6742121130799184,1.6572130428533358,1.751557294342146,97366.17647923404,97070.545520766,-0.7046100253217927,-2.0691877615065017,-0.3161889384377131,-0.08151886858089065,-0.6961538237881941,-1.3239363172234326,9.417517853069993,-0.3962057043973666,-2.0600078255833782,1.6371508548445965,0.6989889187760059,97099.93,97133.86,97134.87,97158.01,0,1,0,0,1,1.6440814072322951,1.7821393173854467
97048.13,97124.79,97026.86,97124.78,32.847329,13,6,1.7622921610931166,1.6705739279275433,1.6509138845376472,1.7400406231598877,97362.63191256014,97059.84408743994,-0.679516265248241,-0.7644941973941041,-0.31107482810917303,-0.1314632306553709,-0.549709260356453,-1.0217232022564429,12.829734536380306,-0.20424432367980536,-1.947433001956074,1.6330075918851936,0.7607231756727117,97048.13,97099.93,97133.86,97134.87,1,0,0,0,1,1.6372734708396959,1.764015383360728
97124.78,97220.87,97100.29,97180.28,37.165097,13,6,1.7647629058176737,1.6679839876764424,1.666540906604341,1.739117032829325,97355.1255534956,97057.59844650446,-0.6978538283519795,-0.04397258578397398,-0.24661880361373492,-0.15733230571462486,-0.29575442071717545,-0.28564315400955326,23.42613058665587,-0.28695238704808285,-1.7900375381958422,1.6290698833447892,0.8305723754596713,97124.78,97048.13,97099.93,97133.86,1,0,0,0,0,1.6228562456050863,1.7602121687974648
97180.28,97230.96,97176.33,97197.46,34.660595,13,6,1.767655123823925,1.665778212001705,1.685439783194586,1.7412323995369232,97351.42967445204,97056.27132554803,-0.7061079799551279,0.15695389956153777,-0.17401108408624835,-0.16215965506702296,-0.07379868352331861,0.41689988881095597,39.82035252610757,-0.3862334639962768,-1.7978020047639,1.6256358821644792,0.8957145389495148,97180.28,97124.78,97048.13,97099.93,1,0,0,0,0,1.6157576882624192,1.757964558424065
