SMA_50,RSI_14,EMA_12,EMA_26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,-1.8317912466489257,
,,-1.8259582764872369,
,,-1.8195724578929842,
,0.9056080296201675,-1.8044198448052176,
,0.5549939326276584,-1.798877241919702,
,0.7505472418423493,-1.788166398678168,
,1.2218667482939107,-1.7629439087629402,
,1.3622458871646723,-1.736280194357176,
,1.2969420220289563,-1.7149041612408444,
,0.5107271164828672,-1.7120491481947973,
,0.8469039748347247,-1.699087860516017,
,0.40775672705916877,-1.6973890002396603,
,0.15262478851572034,-1.7016008545750199,
,-0.12873760264006787,-1.711562662276309,
,-0.04659864473411529,-1.717983106192058,-1.8052005981275345
,-0.18444251770419667,-1.7263516366107254,-1.8058879587009224
,-0.10930083949391134,-1.731797827881668,-1.8057179679402846
,0.2851309393400014,-1.727563981417934,-1.8011989851284094
,0.14683920828780905,-1.7265034316958163,-1.7982587400629437
,0.3545539066337188,-1.7210337847306647,-1.7932809273616552
,0.476338401936915,-1.7137159674380307,-1.7873451124292303
,-0.20670630485413005,-1.7193627562556768,-1.7876887207179168
,-0.15008741958841015,-1.7230460204833775,-1.7874668492220325
,-0.006763570205405625,-1.7234768209599205,-1.7859365810497163
,-0.08072139639583495,-1.7250292238768221,-1.7851056127936478
,-0.31594607887968906,-1.730073383262796,-1.7861763892164841
,-0.3832332548887688,-1.7353947609704086,-1.7876873832308233
,0.1825394927725928,-1.7307537170590193,-1.784576104128594
,0.4899143260903286,-1.7212265669368256,-1.7789329156874925
,0.8116028033506469,-1.706811823676138,-1.7705738370601183
,0.25493069543202224,-1.7022582450150343,-1.7666042736949406
,-0.0008461572374778929,-1.7021765802584776,-1.764789056991264
,-0.3111750862096067,-1.7068489954820643,-1.7654471541681263
,-0.7605480327562482,-1.7182706771361453,-1.7697403018479876
,-0.20590899255539766,-1.71918379837484,-1.7693986355312146
,-0.15379260340466497,-1.7190947652201405,-1.7686572387602364
,-0.04077915905558481,-1.7172222232793852,-1.7670842502077513
,0.1887043507064293,-1.711984112223761,-1.7638255377680565
-1.847959252609699,0.5857236495495485,-1.700759255892502,-1.7574576132641382
-1.8405581074288708,1.0347260495487125,-1.6824206770846848,-1.7472005619105238
-1.8304343620359251,1.6359270472916891,-1.6519764512334223,-1.730340249244648
-1.8217465930539831,1.7157522899957618,-1.6239363625585501,-1.7136043925877402
-1.8168707196726106,0.9761583695606663,-1.609534679517538,-1.702707758955475
-1.8152077358046688,0.06249679273577977,-1.6114093165666963,-1.6995540101987778
-1.8100890048674652,0.15003459011438508,-1.6112491189513232,-1.6957724093454616
-1.8059798933181324,-0.13139043369183276,-1.615755067538695,-1.6945604455657608
-1.8033364372240877,0.12327928916604443,-1.614880131732701,-1.6911259684387756
-1.7995285839306145,-0.2294351882741294,-1.6198483930290442,-1.6907617808654067
-1.7965058956041615,-0.5068649685583693,-1.6287822823255869,-1.692757731045754
-1.7930959968075926,-0.6952104912826064,-1.639632245477011,-1.696228951014171
-1.791071120077191,-0.989824784203866,-1.6541415152503345,-1.7020714548281055
-1.7906709316737386,-1.3146471492488947,-1.672744970896986,-1.710601802255676
