timestamp,open,high,low,close,volume,hour,day_of_week,SMA_10,SMA_50,RSI,ATR,BB_upper,BB_lower,target
2025-01-14 00:50:00,94459.28,94590.57,94445.61,94554.25,104.848244,0,1,,,,,,,1
2025-01-14 00:55:00,94554.25,94558.55,94452.23,94492.33,74.064158,0,1,,,,,,,1
2025-01-14 01:00:00,94492.33,94734.73,94474.52,94656.95,156.957381,1,1,,,,,,,1
2025-01-14 01:05:00,94656.95,94900.36,94636.38,94894.09,169.860933,1,1,,,,,,,0
2025-01-14 01:10:00,94894.09,95063.56,94894.09,95013.36,195.910229,1,1,,,,,,,0
2025-01-14 01:15:00,95013.36,95021.95,94666.64,94711.2,132.410248,1,1,,,,,,,1
2025-01-14 01:20:00,94711.2,94855.43,94706.31,94745.78,156.679345,1,1,,,,,,,1
2025-01-14 01:25:00,94745.78,95060.62,94745.78,94944.49,145.592101,1,1,,,,,,,0
2025-01-14 01:30:00,94944.49,95009.85,94709.02,94760.83,137.559946,1,1,,,,,,,0
2025-01-14 01:35:00,94760.83,94811.17,94687.71,94773.16,118.41129,1,1,94754.644,,,,,,0
2025-01-14 01:40:00,94773.16,94795.69,94676.01,94693.99,101.08392,1,1,94768.61799999999,,,,,,1
2025-01-14 01:45:00,94693.99,94782.81,94602.3,94754.93,106.376971,1,1,94794.878,,,,,,1
2025-01-14 01:50:00,94754.93,94876.28,94730.3,94825.43,132.985976,1,1,94811.726,,,,,,1
2025-01-14 01:55:00,94825.43,94866.14,94775.41,94844.28,120.052381,1,1,94806.74500000001,,,,,,1
2025-01-14 02:00:00,94844.28,94982.49,94834.17,94971.0,161.11331,2,1,94802.509,,62.47328756053317,194.91142857142717,,,0
2025-01-14 02:05:00,94971.0,94990.41,94754.27,94876.39,126.686297,2,1,94819.02800000002,,58.88208246263873,197.8563265306109,,,1
2025-01-14 02:10:00,94876.39,95018.51,94867.61,94954.65,108.989633,2,1,94839.91500000001,,60.885059658894846,194.50230320699544,,,1
2025-01-14 02:15:00,94954.65,95227.23,94931.01,95164.69,179.752333,2,1,94861.93500000001,,65.71260375602253,201.7678529779244,,,1
2025-01-14 02:20:00,95164.69,95312.32,95003.72,95233.86,194.864225,2,1,94909.23800000001,,67.15045318499595,209.39872062235878,,,0
